metabolite_name,HCT116N_21-1,HCT116N_21-2,HCT116N_21-3,HCT116N_21-4,HCT116N_21-5,HCT116N_21-6,HCT116N_21-7,HCT116N_21-8,HCT116N_21-9,HCT116N_21-10,HCT116N_21-11,HCT116N_21-12,HCT116N_21-13,HCT116N_21-14,HCT116N_21-15,HCT116N_21-16,HCT116N_21-17,HCT116N_21-18,HCT116N_21-19,HCT116N_21-20,HCT116N_21-21,HCT116N_21-22,HCT116N_21-23,HCT116N_21-24,HCT116N_21-25,HCT116N_21-26,HCT116N_21-27,HCT116N_21-28,HCT116N_21-29,HCT116N_21-30,HCT116H_1-1,HCT116H_1-2,HCT116H_1-3,HCT116H_1-4,HCT116H_1-5,HCT116H_1-6,HCT116H_1-7,HCT116H_1-8,HCT116H_1-9,HCT116H_1-10,HCT116H_1-11,HCT116H_1-12,HCT116H_1-13,HCT116H_1-14,HCT116H_1-15,HCT116H_1-16,HCT116H_1-17,HCT116H_1-18,HCT116H_1-19,HCT116H_1-20,HCT116H_1-21,HCT116H_1-22,HCT116H_1-23,HCT116H_1-24,HCT116H_1-25,HCT116H_1-26,HCT116H_1-27,HCT116H_1-28,HCT116H_1-29,HCT116H_1-30,HCT116A_0-1,HCT116A_0-2,HCT116A_0-3,HCT116A_0-4,HCT116A_0-5,HCT116A_0-6,HCT116A_0-7,HCT116A_0-8,HCT116A_0-9,HCT116A_0-10,HCT116A_0-11,HCT116A_0-12,HCT116A_0-13,HCT116A_0-14,HCT116A_0-15,HCT116A_0-16,HCT116A_0-17,HCT116A_0-18,HCT116A_0-19,HCT116A_0-20,HCT116A_0-21,HCT116A_0-22,HCT116A_0-23,HCT116A_0-24,HCT116A_0-25,HCT116A_0-26,HCT116A_0-27,HCT116A_0-28,HCT116A_0-29,HCT116A_0-30,HCT116_DN2N_21-1,HCT116_DN2N_21-2,HCT116_DN2N_21-3,HCT116_DN2N_21-4,HCT116_DN2N_21-5,HCT116_DN2N_21-6,HCT116_DN2N_21-7,HCT116_DN2N_21-8,HCT116_DN2N_21-9,HCT116_DN2N_21-10,HCT116_DN2N_21-11,HCT116_DN2N_21-12,HCT116_DN2N_21-13,HCT116_DN2N_21-14,HCT116_DN2N_21-15,HCT116_DN2N_21-16,HCT116_DN2N_21-17,HCT116_DN2N_21-18,HCT116_DN2N_21-19,HCT116_DN2N_21-20,HCT116_DN2N_21-21,HCT116_DN2N_21-22,HCT116_DN2N_21-23,HCT116_DN2N_21-24,HCT116_DN2N_21-25,HCT116_DN2N_21-26,HCT116_DN2N_21-27,HCT116_DN2N_21-28,HCT116_DN2N_21-29,HCT116_DN2N_21-30,HCT116_DN2H_1-1,HCT116_DN2H_1-2,HCT116_DN2H_1-3,HCT116_DN2H_1-4,HCT116_DN2H_1-5,HCT116_DN2H_1-6,HCT116_DN2H_1-7,HCT116_DN2H_1-8,HCT116_DN2H_1-9,HCT116_DN2H_1-10,HCT116_DN2H_1-11,HCT116_DN2H_1-12,HCT116_DN2H_1-13,HCT116_DN2H_1-14,HCT116_DN2H_1-15,HCT116_DN2H_1-16,HCT116_DN2H_1-17,HCT116_DN2H_1-18,HCT116_DN2H_1-19,HCT116_DN2H_1-20,HCT116_DN2H_1-21,HCT116_DN2H_1-22,HCT116_DN2H_1-23,HCT116_DN2H_1-24,HCT116_DN2H_1-25,HCT116_DN2H_1-26,HCT116_DN2H_1-27,HCT116_DN2H_1-28,HCT116_DN2H_1-29,HCT116_DN2H_1-30,HCT116_DN2A_0-1,HCT116_DN2A_0-2,HCT116_DN2A_0-3,HCT116_DN2A_0-4,HCT116_DN2A_0-5,HCT116_DN2A_0-6,HCT116_DN2A_0-7,HCT116_DN2A_0-8,HCT116_DN2A_0-9,HCT116_DN2A_0-10,HCT116_DN2A_0-11,HCT116_DN2A_0-12,HCT116_DN2A_0-13,HCT116_DN2A_0-14,HCT116_DN2A_0-15,HCT116_DN2A_0-16,HCT116_DN2A_0-17,HCT116_DN2A_0-18,HCT116_DN2A_0-19,HCT116_DN2A_0-20,HCT116_DN2A_0-21,HCT116_DN2A_0-22,HCT116_DN2A_0-23,HCT116_DN2A_0-24,HCT116_DN2A_0-25,HCT116_DN2A_0-26,HCT116_DN2A_0-27,HCT116_DN2A_0-28,HCT116_DN2A_0-29,HCT116_DN2A_0-30
4-aminobutyrate,0.019943995,0.022688534,0.016133963,0.019561054,0.018483554,0.02006531,0.017382323,0.01477759,0.009214893,0.020442812,0.01909414,0.016975419,0.016486472,0.010845391,0.012899412,NA,NA,0.016284374,0.014952327,0.013531692,0.011015447,0.008615355,0.010437333,NA,0.008656909,0.015273788,NA,NA,NA,NA,0.012637955,0.011411571,0.012720794,0.007898261,0.011008614,0.013135087,NA,0.009923184,0.012173522,0.010965076,0.010307397,0.00997016,NA,0.008116854,NA,NA,NA,NA,NA,0.006486684,NA,0.007645196,NA,NA,NA,0.011131474,NA,NA,NA,NA,NA,0.010820981,0.009720649,NA,0.012728266,0.011726602,0.008895263,0.014013288,0.011612379,0.007496319,0.00839194,0.007332018,0.011087944,0.011785651,0.00940955,NA,NA,0.007141994,NA,0.007585899,0.007747146,0.008549915,NA,0.003482863,NA,NA,NA,NA,0.008638845,NA,0.029209611,NA,0.020083242,0.013747756,0.015566871,NA,0.019956556,0.017031997,0.028250219,0.024077788,NA,0.013153563,0.017997796,0.013076394,NA,0.015657309,0.012911927,0.016245007,0.019009568,0.016986383,0.016161143,0.012878101,0.010777822,NA,0.011834483,NA,0.011350674,0.015517044,NA,NA,0.012675858,0.015820425,0.005552342,0.014553463,NA,0.009527543,0.011027122,0.012509671,0.019565601,0.010956721,0.011430036,0.013529383,0.013276413,NA,NA,0.009892554,0.016092911,NA,NA,0.006194026,NA,NA,0.008235412,0.020680463,NA,0.004866252,NA,0.00881253,0.01357841,NA,NA,0.008090312,0.008410013,0.007118932,0.009335363,NA,0.007876754,0.006587474,0.012324501,0.008896525,0.00694973,0.009371856,0.008008009,0.006205238,NA,NA,0.006767429,NA,0.0062398,0.00759591,0.012598662,0.00894452,0.007752998,0.005379479,0.008681717,NA,NA,NA,0.005071752,0.008009856
Aspartate (1),0.049744636,0.06513548,0.041687048,0.052547594,0.048128769,0.067955283,0.060988455,0.036650784,0.029378655,0.065635038,0.051456443,0.058472996,0.051450623,0.052050526,0.039915484,0.019840607,0.023187822,0.028837604,0.02848848,0.023749085,0.025617918,0.026504049,0.019532083,0.021599233,0.015905962,0.027525122,0.02695374,0.016701089,0.032297689,0.01765407,0.044195692,0.036829437,0.056447604,0.036355199,0.067762321,0.062548827,0.050431938,0.038725508,0.054446437,0.045450231,0.055138028,0.063825541,0.045329702,0.028161172,0.042408489,0.021234233,0.02144488,0.018166759,0.049510931,0.01625794,0.017525541,0.015756788,0.008270696,0.018442356,0.013565445,0.043315443,0.024764672,0.019722551,0.026271328,0.032542526,0.037529974,0.070538141,0.053616426,0.07250801,0.061287911,0.083589988,0.056991429,0.089197514,0.04743631,0.046655496,0.047560321,0.053697391,0.052011047,0.06553974,0.058594288,0.040892347,0.032192174,0.028326124,0.02509798,0.034083973,0.038380802,0.058570853,0.028928529,0.018491037,0.006831469,0.021637165,0.027938,0.04835067,0.037414536,0.031393956,0.047873116,0.02955569,0.035125301,0.023981015,0.023302435,0.031743785,0.039789619,0.02930194,0.037816847,0.043225943,0.024903847,0.024479129,0.032922032,0.026522164,0.029728017,0.020906325,0.019826708,0.02279261,0.039485733,0.025992883,0.026861199,0.027599237,0.021052738,0.016603484,0.07075997,0.014911871,0.017578335,0.029575396,0.034302162,0.014193228,0.031138168,0.041512929,0.020049869,0.039836441,0.024333284,0.026052131,0.039291892,0.043334663,0.054656132,0.031613068,0.034923631,0.03776989,0.043247498,0.038356172,0.028690668,0.019161822,0.039612749,0.018983241,0.013952396,NA,0.045227101,0.026539186,0.021380865,0.036181334,0.016980146,0.033187144,0.011872354,0.025022454,0.04038398,0.022489602,0.055033084,0.036047757,0.040121428,0.056346852,0.072375942,0.038920806,0.055247127,0.048747481,0.087611216,0.060368544,0.030180269,0.043312475,0.066327116,0.04489638,0.020905343,0.046310555,0.035868204,0.06310638,0.036699211,0.033720469,0.05367562,0.047758592,0.061176073,0.017045769,0.037228303,0.0396681,0.028114787,0.025137274,0.019876521,0.04489061
Aspartate (2),0.008113371,0.016837457,0.002852888,0.007481938,0.001870554,0.012998447,0.00383833,NA,NA,0.014983211,0.006843301,0.015384556,0.014019711,0.003055509,NA,0.000596786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01118142,NA,0.019428857,NA,0.031430053,0.017092167,0.007371039,NA,0.020243801,0.007828338,0.016374032,0.023384056,0.005672732,NA,0.004972042,NA,NA,NA,0.008034919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004194507,0.040351998,0.013432507,0.033864326,0.019142233,0.056506322,0.010556327,0.05492985,0.011236839,0.005572835,0.012342935,0.013814491,0.016088107,0.014941591,0.009168329,0.004992736,0.002761705,NA,0.001294015,0.001811962,NA,0.006500821,NA,NA,NA,NA,NA,NA,NA,NA,0.013385007,NA,NA,NA,NA,0.003454477,0.003895261,NA,0.006187256,0.008363551,NA,NA,NA,NA,NA,NA,0.000334719,NA,0.002402687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003689573,0.003631953,0.01399651,NA,0.009198104,NA,NA,NA,NA,0.0196974,NA,0.00337863,0.008545566,0.011604329,0.002644786,NA,NA,0.009957079,NA,NA,0.003099148,0.010816124,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015657328,0.00574673,0.01136265,0.012115882,0.046260048,0.004380878,0.015857056,0.017266417,0.066906535,0.020411877,NA,0.012159656,0.019080537,0.007920484,NA,0.007069538,0.00541911,0.069044129,0.00590019,NA,0.017427671,0.009427243,0.014749183,NA,0.055120263,NA,NA,NA,NA,0.020918257
4-hydroxyproline,0.151216413,0.166049191,0.132010303,0.156953134,0.146848413,0.175716745,0.164870064,0.135983972,0.105672876,0.168379516,0.170605821,0.153503153,0.141384077,NA,0.127934697,0.172156157,0.166332227,0.177125337,0.191155841,0.151427416,0.147958678,0.16644411,0.114475069,0.140665255,0.111725232,0.171934413,0.178782309,0.091392765,0.255239708,0.09261947,0.105987604,0.10192115,0.129199871,0.101400996,0.140726072,0.142181434,0.10103607,0.103286066,0.119999434,0.110221688,0.124069869,0.124038096,0.114554749,0.096602291,0.116461323,0.067505989,0.075916416,0.052264566,0.110301808,0.039518996,0.051199115,0.039194154,0.029173354,0.05475519,0.042623864,0.106444335,0.074236403,0.079246135,0.076043453,NA,0.063764568,0.107840425,0.098704641,0.174280008,0.143415611,0.130572164,0.095422869,0.131588312,0.142235594,0.081575678,0.107283391,0.087889507,0.109111839,0.104677629,0.107009238,0.071354343,0.058142729,0.056924194,0.048825947,0.070663465,0.059225853,0.104904731,0.055302783,0.02616707,NA,0.033387806,NA,0.023342079,0.098821661,0.058979511,0.186420957,0.129516256,0.167508517,0.115948965,0.110215641,0.160725017,0.059462713,0.130046699,0.165956752,0.173414763,0.120291131,0.108023154,0.140035031,0.122481374,0.114981073,0.128820739,0.137211204,0.142478021,0.180354433,0.180315362,0.067263874,0.171454641,0.12093407,0.101039344,0.128964883,0.099252151,0.120718742,0.174719528,0.231898327,0.091300806,0.139699901,0.12154579,0.065524401,0.134354521,0.078573707,0.088899449,0.108752853,0.133963935,0.16306785,0.11446467,0.119701656,0.133139014,0.132940834,0.120263047,0.093119072,0.077490971,0.099580442,0.069322693,0.01970827,0.09324272,0.106407219,0.066881872,0.053068361,0.140562464,0.058281765,0.10046221,0.044081036,0.072412432,0.144816688,0.073762648,0.13839802,0.104004202,0.105573749,0.144548137,0.15665171,0.102454673,0.076168269,0.112806054,0.145580415,0.105318715,0.101201384,0.08335237,0.120714327,0.044580977,0.080200551,0.106285126,0.078786642,0.132756349,0.074306224,0.063156809,0.113078162,0.089027709,0.135569371,0.053175798,0.113401163,0.093532418,0.085604068,0.059115747,NA,0.100691041
xylitol/Ribitol,0.004144124,0.00709208,0.00510932,0.004900315,0.004747061,0.010046249,0.006392997,0.003055774,0.003380275,0.006735394,0.005465093,0.007737146,0.007879866,0.001690228,0.003774596,0.002101601,0.004877026,0.004807776,0.003443639,0.002271632,0.003194833,0.004070167,0.005674748,0.002663972,0.001747884,0.003008454,0.003291508,0.001767002,0.004998609,0.000652321,0.009573839,0.004983746,0.013368617,0.006779347,0.016794288,0.014090808,0.011864397,0.009291429,0.01280007,0.00991099,0.012048652,NA,0.007356347,0.004737825,0.00795415,0.004687887,0.005016768,0.004861714,0.014058142,0.005782119,0.003394855,0.003644697,0.00275194,0.004080566,0.004814927,0.011519753,0.007458034,0.005083829,0.006622382,0.008775214,0.009323294,0.017349785,0.014054237,0.013053749,0.01530975,0.025731515,0.013910543,0.02504388,0.010539752,0.010498251,0.011564875,0.012545385,0.011838434,0.016128452,0.013864927,0.008656908,0.007904896,0.007588649,0.00436973,0.008117393,NA,0.018813799,0.007962679,0.004277139,0.001855286,0.00576902,0.00866887,0.01284426,0.010335759,0.007307748,0.006751062,0.002937485,0.003929572,0.003749492,NA,0.00468626,0.005304949,0.004082161,0.005141716,0.006137804,0.004295607,0.003439354,0.005059922,0.004043251,0.00439519,0.00308949,0.002832834,0.002590737,0.004007927,0.00338248,NA,0.003587336,0.003038208,0.003403962,0.011933528,0.00258627,0.002521168,0.00489366,0.006825139,0.002812207,0.006214068,0.00798093,0.003985309,0.006934438,0.004660999,0.004274518,0.008736713,0.007613383,0.001781766,0.005104152,0.006307445,0.00544969,0.001356865,0.001320003,0.005274639,0.003590452,0.009776833,NA,0.002678736,0.006397822,0.01132788,0.006979274,0.004403738,0.006875839,0.004896108,0.007179469,0.003215787,0.007637924,0.010300494,0.005078065,0.018855312,NA,0.012684135,NA,0.024228628,0.009749134,0.017526238,0.014615905,0.025852077,0.014394569,0.009612548,0.009390856,0.004176975,0.010092856,0.006309245,0.011068965,0.008400045,NA,0.008232547,0.007337954,0.012597027,0.002395294,0.012913365,0.004629275,0.009252843,0.008901888,0.008102658,0.007124169,0.007606157,0.011001949
Cysteine,0.002195197,0.008458834,NA,NA,NA,NA,NA,NA,0.000597304,NA,0.003145762,0.009983202,0.008290566,NA,NA,0.001932833,0.003463082,0.005836673,0.002209169,0.001490732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012905636,NA,0.025161239,0.001529873,0.035505012,0.015459469,0.008578346,0.004588879,0.027860996,0.009268916,0.015001015,NA,NA,NA,0.002346503,NA,NA,NA,0.010395395,NA,NA,NA,NA,NA,NA,NA,0.000582817,NA,NA,NA,NA,0.038016026,0.015824597,0.02681513,0.020337714,0.053629133,0.007143619,0.048063977,0.013407412,0.004663507,0.014486503,0.014227962,0.014824189,0.011056299,0.010114623,0.002290008,0.00232167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008361627,NA,NA,NA,NA,0.001409272,NA,NA,0.002799378,NA,NA,NA,0.001650461,NA,NA,NA,NA,NA,0.001261549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005612777,0.020111259,NA,0.009160872,NA,0.002304168,0.005630492,0.004166822,0.019934956,NA,0.003320213,0.006988154,0.013900425,0.002266582,NA,NA,0.016222746,NA,NA,NA,0.011098949,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02118549,0.009578612,0.022520635,0.018111638,0.050327273,0.003858291,0.030495425,0.025850061,0.071922952,0.025164582,0.009244939,0.013487652,0.018589135,NA,NA,0.007861814,0.007947249,0.05628977,0.007393266,NA,0.019360675,0.009102662,0.011608025,NA,0.004720741,NA,0.002587939,NA,NA,0.020327674
2-hydroxyglutarate,0.002668145,0.005253284,0.003201204,0.003974533,0.003425932,NA,0.004880169,0.002574732,0.002467159,0.004985035,0.005232454,0.003929668,0.004414176,0.004700796,0.003159181,0.002901502,0.003017223,0.004237909,0.003936714,0.003425177,0.002477295,0.003796205,0.003118212,0.00292936,0.002631899,0.002154502,0.004247777,0.003049153,NA,0.004191326,0.007514058,0.004505976,0.009820675,0.007623344,0.011073659,0.010186332,0.007856445,0.007072351,0.011381913,0.008923807,0.009704041,0.010576812,0.008142855,0.006768056,0.008343055,0.004923559,0.003554367,0.004252614,0.006697806,0.00380253,0.003618213,0.00399772,0.001511023,0.002660048,0.005229584,0.00726984,0.008302022,0.005236845,0.0048488,0.007079746,0.02514884,0.045930857,0.031644016,0.010036387,0.039373108,0.062227595,0.034220643,0.065001507,0.031661859,0.032949203,0.034839017,0.037265926,0.04649525,0.044264236,0.034607816,0.031579686,0.02303297,0.024351955,0.023179599,0.027312445,0.026758344,0.026695982,0.017719938,0.014035524,0.01083807,0.020643977,0.031117872,0.032486468,0.026527475,0.033575203,0.004462053,0.002213225,0.003146612,NA,0.001927191,0.002638138,0.004713045,0.003074899,0.003362872,0.00465491,0.003076547,0.003080855,0.002854918,0.003245286,0.003374303,0.002739807,0.003465507,0.00329889,0.002159321,0.003947513,0.00323828,0.003442,0.002715764,0.003375004,0.013883812,0.002402381,0.00209785,NA,0.004481741,0.002544163,0.004976841,0.007199252,NA,0.005848579,0.003335587,0.003526042,0.005035658,0.007048016,0.010035928,0.004002399,0.005925399,0.005793171,0.005263286,0.005870205,0.003317643,0.002674551,0.007212905,NA,NA,0.003969886,0.006524235,0.003974399,0.003171878,0.00554,0.002818273,0.005683182,NA,0.006196912,0.007915809,0.003294426,0.020624131,0.025414769,0.02195703,0.028220588,0.036797615,0.019449789,0.026230794,0.022150198,0.050503326,0.030045893,0.022143031,0.027897406,0.034483981,0.006488173,0.016298189,0.028212951,0.018384084,0.035320007,0.016830046,0.018755701,0.028025662,0.024927749,0.024938579,0.01861284,0.018017168,0.02109842,0.013362009,0.030500341,0.01265715,0.024080952
Methionine,0.010930109,0.017543598,0.010142262,0.011789736,0.009805538,0.020023764,0.014556667,0.009680819,0.006684264,0.015942098,0.016381637,0.016737368,0.017288671,0.013187495,0.008457785,0.007180246,0.006603009,0.007722282,0.008282786,0.00773541,0.006164035,0.007477063,0.005241185,0.004665973,0.004242685,0.008240369,0.006795094,0.004270386,0.010215985,0.00512319,0.01874747,0.009121127,0.025187141,0.014225048,NA,0.029566185,0.022643248,0.014091591,0.028212148,0.019171078,0.025869662,0.016305297,NA,0.010058369,0.016636844,0.009617358,0.010291505,0.00872563,0.026239466,0.008048248,0.008174085,0.007265565,0.006809951,0.007357294,0.008262689,0.020622016,0.012999784,0.012148532,0.013795943,0.017967911,0.015762766,0.034866195,0.028880715,0.025720055,0.043955477,0.047727823,0.028411235,0.053410097,0.037866326,0.021131965,0.029302982,0.025086495,0.027651076,NA,0.028148438,0.013786222,0.015039088,0.011653607,0.009484619,0.014360587,0.01252448,0.029906021,0.011317298,0.00571571,0.001592199,0.005796672,0.01159119,0.021380634,0.021020131,0.014905578,0.018907682,0.008543393,0.012548979,0.010243157,0.008154367,0.011327841,0.013509918,0.01104783,0.012933939,0.016705203,0.007793476,0.007070591,0.012507749,0.009200049,0.011043371,0.007923849,0.007679519,0.009933969,0.010400435,0.014213051,0.013728466,0.011404292,0.008197779,0.006210976,0.020988321,0.007815024,0.006962902,0.014734842,NA,0.006363208,0.020000109,0.022272662,0.01010665,0.018693593,0.010818504,0.013786897,0.018129603,0.022388895,0.028429136,0.013843409,0.015277663,0.021472732,0.023026944,0.019055779,0.011549134,0.01102766,0.027269074,0.01253236,NA,0.017050727,0.025756807,0.016985751,0.011806177,0.026014502,0.009246674,NA,0.008205109,0.008855305,0.025908034,0.013303413,0.055293386,0.026318248,0.032502429,0.04533677,0.053096784,0.027151217,0.028738916,0.038134821,0.043625469,0.030130587,0.027476252,0.020482608,0.039343806,0.021745623,0.021501458,0.023696234,0.017824507,0.035243799,0.015899633,0.013355238,0.017440498,0.021985725,0.029093087,0.007056235,0.024064942,0.019401207,0.016335036,NA,0.017006499,0.027474322
Creatinine,0.035676163,0.043174554,0.031674018,0.043759126,0.036259767,0.036496504,NA,0.026640692,0.016754952,0.0387711,0.045988524,0.044212083,0.035715482,0.020487423,0.01681961,0.032750527,0.032008721,0.040524853,0.025102256,0.033530015,0.018301585,0.012122599,0.020110451,0.029116618,NA,0.032847179,0.02797479,NA,0.0322447,NA,0.049448206,0.029618929,0.058090377,0.02861885,0.044696985,0.040250127,0.024390494,0.026237344,0.047742895,0.036618936,0.044340941,0.034537818,0.037375146,0.027227688,0.026853301,0.012410737,0.023136369,0.012755121,0.026898756,0.011466269,0.010395633,0.010853605,0.01000952,0.020199887,NA,0.041659807,NA,0.032867095,0.01352223,0.027159241,0.024634691,0.046406058,0.058536602,0.079036619,0.069094592,0.07479878,0.03434913,0.050546872,0.059227277,0.036438033,0.043157295,0.04711201,0.067628783,0.047072234,0.034241424,0.030908949,0.034698172,0.023382746,0.031190767,0.026727885,0.029381288,NA,NA,0.011594713,NA,0.006530395,0.034474263,0.042971735,0.057071256,0.00794696,0.047959671,0.023198871,0.029092846,0.000889003,0.031248831,0.04452683,0.043173407,0.041457605,0.037616054,0.03750661,0.025018692,0.024133926,0.042056826,0.026071933,0.033057948,0.036943605,0.0220668,0.034872341,NA,0.022943384,0.028027607,0.019130895,0.013735426,0.00842179,0.021711716,NA,0.028578366,0.038103582,0.04926584,0.014757494,0.037336053,0.051853883,0.009038905,0.050897537,0.026988564,0.037338525,0.038068442,0.050402795,0.05639422,0.045465792,0.043585666,0.058115395,0.044823596,0.036429102,0.027733682,0.026135896,0.038018551,0.027499446,NA,0.007951892,0.03245623,0.018565927,0.013983626,0.065711365,0.025309539,NA,0.009875172,0.016614035,0.055098834,0.008171246,0.044825391,0.044439277,0.049758774,0.055163428,0.076628022,0.032151678,0.057739003,0.057115409,0.0693729,0.048182258,0.042158916,0.076933653,0.042358459,0.044652946,0.026286266,0.04478936,0.026697021,0.064334944,0.02569635,0.026722133,0.042157405,0.053433759,0.033229205,0.024274685,0.069705657,0.079263572,0.041579074,0.041476679,0.002574224,0.046334498
Glutamine,0.095344975,0.144295043,0.075470081,0.112777908,0.084860638,0.125304115,0.069329586,0.068322025,0.038042941,0.153437807,0.116254412,0.125607042,0.110991542,0.066955384,0.043579803,0.04307705,0.052680634,0.062169441,0.043634913,0.040280503,0.020113853,0.011542075,0.045536228,0.072696041,0.030501306,0.053193373,0.050904168,NA,0.087096832,0.014649849,0.065272219,0.033644583,0.111585919,0.028608221,0.100135851,0.090294136,0.036097598,0.050123262,0.104532887,0.062082766,0.085702954,0.100835785,0.045778189,0.024942507,0.035692392,0.012681544,0.016959587,0.00863,0.050574394,0.004731778,0.005165834,0.005239922,NA,0.021629888,0.017428385,0.048962795,0.033925808,0.031885142,0.019822487,NA,0.022565494,0.111931059,0.074875985,0.172268378,0.131055204,0.147653297,0.044560758,0.146241708,0.172065514,0.04055946,0.112633596,0.069392458,0.100205824,0.08241953,0.069418231,0.02968311,0.030788571,0.01627622,0.022056009,0.0269716,0.01736502,0.014985535,NA,NA,NA,0.007878149,NA,0.047316925,0.065145663,0.01475498,0.143893209,0.036354389,0.063246771,0.037978238,0.038615539,0.06822548,0.068075693,0.04555835,0.088561437,0.092786271,0.039208084,0.029100036,0.062322933,0.035779227,0.04001271,0.068551799,0.034921167,0.048081784,0.052473769,0.047879698,0.040586219,0.017216216,0.014255271,NA,0.11732859,0.018729748,0.055055106,0.07443145,0.096842655,0.035924647,0.050281095,0.082786524,0.004603409,0.063927166,0.014266884,0.024895923,0.039253458,0.047204376,0.111249153,0.039449881,0.041966511,0.060445645,0.070947427,0.032311783,0.014981559,0.018096151,0.049445986,0.018529482,0.004968582,NA,0.045377455,0.010701675,0.005663432,0.169568732,0.026709117,0.018153304,NA,0.019240329,0.062300228,NA,0.118373284,0.083983501,0.10679173,0.125555361,0.17421825,0.050021195,0.155041903,0.101684809,0.126908551,0.054630349,0.072085556,0.049686772,0.066807827,0.029565116,0.035920938,0.058023472,0.026659794,0.19741588,0.023551192,0.017148096,0.103696035,0.056569885,0.042545204,0.017849658,0.212795704,0.058097909,0.119865299,0.031737885,NA,0.082758256
Putrescine,0.248726006,0.285715516,0.227886903,0.270398337,0.268812166,0.253521688,0.245977949,0.232192528,0.20143373,NA,0.266946107,0.246028389,0.232552326,0.227249454,0.203949138,0.177104234,0.225333345,0.223301434,0.196484593,0.185295102,0.133081552,0.099907555,0.158292184,0.188121349,0.149032209,0.224074956,0.215775018,0.118956254,0.323802202,0.172578446,0.152418682,0.149232231,0.190680775,0.121550189,0.153280308,0.150602123,0.109592971,0.150942008,0.185040327,0.171500729,0.13330101,0.155292121,0.146233029,0.13550445,0.139364831,0.07534143,0.119014702,0.083761686,0.101712504,0.058764671,0.018446527,0.017288731,0.053942606,0.087258077,0.017647953,0.179207266,0.191280027,0.15017082,0.12664822,0.140274424,0.072427535,0.111469585,0.105604733,0.240596874,0.136240424,0.125368077,0.09280069,0.135063958,0.153624655,0.110396291,0.120688497,0.106483012,0.116806337,0.126245113,0.110527286,0.092172988,0.08197768,0.07304826,0.097724377,0.108271409,0.063727873,0.045492384,0.077089884,0.049724046,0.024270238,0.056093564,0.123741932,0.096815728,0.167691281,0.152051881,0.340648378,0.222213556,0.295714919,0.207698137,0.208558969,0.311173883,0.244705327,0.239774102,0.28635172,0.284804117,0.23635585,0.196108311,0.236281026,0.214520362,0.223048319,0.188834817,0.22771388,0.099830514,0.269050573,0.169025996,0.073629622,0.051301998,0.047048698,0.17083999,0.264532304,0.178926139,0.215106774,0.346783311,0.390936696,0.185938877,0.168913176,0.156619355,0.100052846,0.166625464,0.132569474,0.118976135,0.132442315,0.159949121,0.217899041,0.173984725,0.127635669,0.195289707,0.100230839,0.159756502,0.123729685,0.069201151,0.190324101,0.052772221,0.048293941,0.070353963,0.171907119,0.047967899,0.042987996,NA,0.034150072,0.124427458,0.026461179,0.033570736,0.052302417,0.024375552,0.141408352,0.13051756,0.122750704,0.17705712,0.135672831,0.133686863,0.16055585,0.109726064,0.135549168,0.104630522,0.141586205,0.093410585,0.108077418,0.089106216,0.135718509,0.13639398,0.033940305,NA,0.030710986,0.085361956,0.090269594,0.08868262,0.065206096,0.017133127,0.121820251,0.112428892,0.104146501,0.063110272,0.086090626,0.105526756
