metabolite_name,UN1,UN2,UN3,UN4,UN5,UN6,UH1,UH2,UH3,UH4,UH5,UH6
xylitol,23091.83,37368.02,31371.77,34917.5,36279.7,25102.41,18118.32,18403.69,22619.09,37953.82,14555.22,8819165.89
putrescine ,7712443,4312116,7421828,8249956,5006938,6540656.2,19279583,15736609,9590887,12092753,10538330,7203005
erythrose-4-phosphate ,671404.42,862829.95,502047,697938.42,663198.21,595618.35,269757.7,357106.8,394194.8,310930.65,352589.84,526055.09
Levoglucosan,442980.64,726640.72,530215.34,698725.4,483676.2,496995.38,148372.49,149089.13,152696.77,166951.42,167232.04,276249.85
Orotic acid,2639324,3469810,3296967,2962399,2353059,2944311.8,5248348,7208349,8631520,6121567,3183743,5216170
Gluconic lactone ,49347.76,53222.2,41488.82,57876.18,53193.02,40958.56,48942.59,47385.63,50994.92,43780.53,44638.27,32087.67
D-(glycerol-1-phosphate),1087366.86,747132.83,878529.31,959482,1269393.84,862156.44,1118029.3,879111.3,791891.89,810739.39,619357.55,619102.73
O-Phosphorylethanolamine,16342.91,7790.09,9986.87,8218.41,5833.17,5095.04,26823.03,14824.16,23902.73,9313.97,46918.54,76496.32
Glucose-1-phosphate,31264,40401,58282,21046,23677,12105,32140,53568,70732,59127,54440,59061
3-phosphoglycerate,164742.52,156702.39,98182.97,207211.65,163865.3,132760.24,74744.32,100044.35,100131.25,82669.28,95513.78,89465.66
beta-Mannosylglycerate ,214445.19,677156.11,656347.42,607924,716558.85,644222.8,245492.92,245418.87,346297.13,138268.67,283612.09,221358.02
ornithine ,11283.91,9244.36,8473.91,8149.91,9069.72,9244.36,4178,6519.85,5570,4618,5279,4890
citric acid,5267244.18,6468572.8,3712187.99,5669431.33,6357095.23,5355096.42,1990494.23,2087388.67,1727726.4,1848632.45,1764889,4387188.89
isocitric acid ,52722.65,73387.37,50712.57,77623.82,62233.35,62805.03,23434.21,26111.54,24139.54,28320.22,18146.61,39202.98
N-acetyl-L-Lysine,500841.54,691721.19,210435.62,627119.15,356377.97,209755.75,162653.02,168379.9,212321.42,223666.57,226154.89,111634.86
Myristic acid,63862.74,101246.87,90598.85,90851.53,67856.41,64665.74,65013.16,61450.33,46296.34,45924.2,52578.25,53900.27
Mannose,10048.93,27035.09,13043.37,18041.84,31537.95,19971.3,26467.33,14573.92,7534.66,10296.26,7520.56,11358.84
phthalic acid,20359.74,37673.89,25342.55,58323.02,25665.85,24870.73,26724.95,30597.1,30832.05,33175.28,29375.59,76905.45
fructose ,1891882.34,1410172.46,1788476.86,1942146.03,1084448.9,925127.92,754935.16,653024.24,570450.7,821429.12,685358.84,1056927.45
tyrosine ,1830769.53,2484384.61,1913926.37,2312364.6,2377149.17,2022152.41,1407873.51,1199380.47,1358964.53,996661.95,1367377.73,1516705.43
galactose ,287939.17,184982.78,265630.69,323970.13,265630.69,265630.69,66657.35,90882.15,71898.39,82998.74,65409.61,62148.44
glucose,10220830.8,13387874.6,16834354.2,13599121.8,12181800,6775588.64,7544404.51,5136520.91,6578330.21,4268364.2,6441965.91,7247379.37
D-Altrose ,371383.85,369462.86,427738.44,420686.35,440246.16,319405.39,191391.71,216387.36,276710.13,230242.43,286026.25,297767.35
sorbitol,4201024.38,4540255.31,5049959.84,4454716.04,5100670.37,4052126.82,2946330.38,2194756.12,1988736.96,2087756.3,2638204.33,2585240.2
xylitol,12892.7,15898.2,17255.42,15630.12,18557.74,13011.61,12588.92,7809.59,7622.31,9713.32,7642.79,7045.92
Galactonic acid,269403.15,355924.12,256580.5,329349.61,341220.75,242957.19,189183.46,191486.41,171448.89,169535.14,174564.86,156056.94
pantothenic acid,72103.85,83042.61,78696.17,93777.88,66900.33,51004.31,19043.42,15983.12,16308.85,18424.73,25008.72,22983.46
gluconic acid ,195185.11,293590.41,303208.25,259107.72,278227.48,235539.27,73444.65,38224.44,53779.09,89323.42,86387.71,180777.08
Threitol,231983.94,308029.96,153850.34,274902.34,334911.66,290651.47,208730.1,203126.96,155917,233158.04,261947.11,180254.08
cytidine-monophosphate ,23450.46,16281.95,14490.49,9564.52,11021.04,10170.71,23433.14,16621.45,37310.54,22530.12,47446.36,34963.83
Allo-inositol,268948.6,384384.18,262703.67,357213.9,351619.65,289874.29,173136.27,168739.97,157110.17,180025.06,141403.05,180978.59
ribose-5-phosphate ,152382.8,127207.73,110025.82,109028.76,97997.48,65674.05,26552.93,24565.12,20497.4,25842,39530.84,51812.47
palmitic acid,4145342.43,4907663.44,4824713.84,5497621.16,4356060.02,3256705.18,2710750.77,2990147.64,3073738.7,3692961.32,3487448.13,3674670.23
myo-inositol,308274.56,206208.42,380294.32,327585.55,331587.39,435574.1,40941.33,9646.22,51922.09,41964.34,50099.14,51074.88
D-Talose ,7893.38,7013.1,4101.08,9146.02,1213.75,5411.04,18681.68,14231.84,11392.74,22271.86,13696.06,4085.63
pentadecanoic acid,10626.63,16100.9,15600.78,15872.56,14142.33,9579.53,8514.07,7088.38,7635.32,10804.75,9714.17,9514.12
phosphate,217074.78,109055.48,161886.51,214832.63,146014.03,122455.65,42114.67,38495.65,72457.63,64242.5,91725.97,125709.35
glutathione ,160430.23,352994.57,415098.18,472203.14,213343.91,293706.89,24502.82,40836.06,30345.14,69136.56,89812.46,35545.09
oleic acid,44294.34,83743.07,83411.99,82025.61,74366.5,56052.51,19776.76,21163.65,22553.22,34376.95,37420.18,32812.62
stearic acid,2173257.66,2665356.3,2539178.93,2954572.61,2508856.79,1714330.03,1425400.53,1532881.55,1539118.64,1938899.84,1919093.26,1561176.89
"D-Fructose-1,6-bisphosphate ",41698.27,28258.66,4011.57,62694.88,16562.63,19612.16,17766.05,7199.43,15754.61,11564,27261.82,30214.36
glucose-6-phosphate ,57258.52,38234.88,34531.01,29054.55,11903.75,30728.74,44204.91,79455.62,44890.01,35982.98,86925.35,126572.11
Threitol,137971.26,79912.59,97232.62,130096.62,121116.48,76014.28,84113.45,48013.72,59797.4,72096.25,107354.08,61202.58
6-phosphogluconic acid,587496.94,370486.33,168172.6,345647.7,5557.02,456927.01,1052396.65,415271.3,445038.61,778439.49,1375724.46,1130440.34
Arachidic acid,16246.47,25593.92,19060.81,19630.67,19060.81,14772.17,8978.02,12871.38,12267.69,14877.35,13585.97,11110.59
inosine,11496.94,19739.89,27477.51,8023.81,1671.24,12820.71,15641.84,20103.71,43745.2,39679.24,57670.31,93666.1
"1,5-Anhydroglucitol",1918.74,2701,4651.29,2701,202.99,4030.98,3795.36,3336.2,2841.28,3566.6,3250.2,3368.46
Threitol,358080.34,72571.4,270507.06,403111.64,282940.76,235831.17,244330.28,242257.74,218943.62,299917.92,523666.93,407058.64
sucrose,5093.1,19897.22,27504.62,69119.94,20653.36,13163.76,13740.88,14466.51,5193.53,26102.95,13480.94,9460.48
adenosine,44913.36,33028.18,33721.73,41051.84,15893.53,33721.73,7828.93,23486.93,9702.12,17695.06,32578.56,14878.74
Galactinol ,89026.54,53091.53,89026.54,58543.85,232100.72,12370.04,117753.94,55445.44,6565.19,16016.54,11539.05,11645.39
D-Ribofuranose,17306.54,17315.66,17315.66,16225.63,17315.66,18414.8,9530.82,16482.43,28310.35,25497.19,43364.91,29797.43
lactose ,13072.13,142332.27,21731.86,46615.5,390571.99,17596.97,327237.82,131893.84,7181.79,37466.95,31586.49,28368.57
"D-Fructose-1,6-bisphosphate",75158.2,33915.55,33915.55,23889.82,33915.55,2698.62,11972.45,9754.34,13029.71,27048.27,42572.83,57912.01
maltotriose ,19502.35,35600.22,31792.36,29337.53,31130.37,19648.57,10577.82,9426.44,8813.5,10044.87,9942.39,13888.34
D-(+)-Galactopyranose,6922.89,50391.86,6631.17,18860.49,264340.76,10486.34,135294.84,60898.32,5581.9,12085.66,5893.39,11920.25
inosine-5'-monophosphate,452467.87,298199.87,298199.87,329512.44,49268.14,361551.04,202614.26,95551.52,27487.01,43026.72,283652.18,563353.89
cholesterol,1893530.91,1964678.43,1943986.65,1389045.68,3112069.83,1177165.14,695610.05,475544.06,607614.22,595161.87,1357734.3,952807.25
